User-ID,ISBN,Book-Rating
276788,043935806X,7
276847,0446364193,0
276925,0316666343,0
276925,0385504209,8
276925,0804106304,0
276925,0971880107,0
276939,059035342X,0
276939,0971880107,0
276953,0446310786,10
276954,0971880107,0
276964,0440220602,9
277042,0380731851,0
277042,0671003755,0
277042,0971880107,2
277124,0440241073,9
277143,0345342968,9
277157,0380731851,0
277157,0971880107,0
277168,0440225701,0
277170,0446610038,0
277195,0060502258,0
277195,0316666343,0
277195,0440236673,0
277195,0553572997,0
277195,0671021001,10
277195,0671510053,0
277212,044023722X,8
277244,0345443284,0
277245,0316601950,0
277246,0452282152,10
277261,0440241073,7
277315,0060976845,5
277358,0679781587,10
277363,0156027321,8
277378,0312195516,7
277378,0380731851,0
277378,0446608955,4
277378,0684872153,0
277378,0971880107,0
277411,044023722X,0
277413,0316666343,0
277427,0060930535,0
277427,0060934417,0
277427,0061009059,9
277427,0142001740,0
277427,0316096199,0
277427,0316284955,0
277427,0316666343,0
277427,0316776963,8
277427,0345339681,0
277427,0345361792,0
277427,0385484518,0
277427,0385504209,8
277427,0439064872,0
277427,0440224764,7
277427,0440225701,0
277427,0440241073,0
277427,0553572997,0
277427,0684872153,0
277427,080410753X,0
277427,0971880107,0
277427,1400034779,0
277439,0316666343,7
277439,0385504209,0
277439,0671027360,7
277453,0385722206,0
277462,0312195516,10
277466,044022165X,0
277466,0671003755,0
277469,0553572997,9
277478,0345351525,0
277478,0345443284,0
277478,0440225701,0
277478,0440234743,0
277478,0671003755,0
277478,0786868716,0
277478,0971880107,0
277517,0452282152,8
277525,0440241073,0
277530,0971880107,0
277535,0316601950,9
277563,0743418174,0
277589,0385504209,0
277598,0375707972,8
277629,0440241073,8
277639,0380731851,6
277639,0440211727,8
277639,0440213525,0
277639,0440214041,9
277639,0440222656,0
277681,0679781587,0
277689,0804106304,0
277698,0316769487,6
277705,0440214041,0
277711,0449212602,0
277743,0446310786,9
277744,0345339681,3
277752,0316666343,7
277756,0385484518,7
277776,0345339681,7
277798,0385484518,8
277803,0142001740,8
277807,0345443284,5
277812,0345339681,0
277873,0679781587,10
277888,067976402X,0
277895,0060928336,0
277901,0446672211,7
277901,0452282152,8
277903,0440226430,8
277915,0671510053,7
277922,0440225701,6
277923,0375725784,0
277923,0385492081,9
277932,0971880107,0
277937,0060934417,9
277937,0312195516,0
277937,0743237188,7
277938,0446672211,9
277958,0142001740,9
277959,0156027321,8
277965,0316666343,0
277965,0345353145,0
277965,0345378490,0
277965,0345417623,0
277965,0385484518,10
277965,0679781587,9
277984,0440206154,0
277997,067976402X,8
278002,044651652X,0
278007,0060928336,0
278007,0316601950,6
278014,044022165X,0
278019,0446610038,0
278026,0061009059,8
278026,0380731851,5
278075,0452282152,8
278107,0446605239,8
278122,0375727345,10
278137,0312195516,0
278137,0345337662,7
278137,044022165X,0
278137,0446606812,7
278137,0671003755,0
278137,0804106304,8
278137,0971880107,0
278144,0060928336,0
278144,0060930535,0
278144,0345417623,0
278144,0440234743,0
278144,0446605239,0
278144,0446672211,0
278144,068484477X,0
278162,059035342X,10
278176,0971880107,9
278185,0142000205,4
278188,0316601950,0
278188,0440225701,9
278188,0446608955,0
278194,0375725784,0
278220,0671003755,8
278221,0060930535,0
278221,0804106304,9
278243,0156027321,8
278243,0375725784,7
278243,0671510053,8
278254,0671027360,8
278325,0440214041,7
278333,0440225701,10
278342,0671510053,8
278350,0312195516,9
278356,0439064872,8
278356,043935806X,10
278356,059035342X,0
278373,0971880107,0
278390,0671027360,7
278390,0804106304,0
278390,080410753X,9
278418,0345313860,0
278418,0345361792,0
278418,0375725784,0
278418,0380789035,0
278418,0385265700,0
278418,0385492081,0
278418,0385722206,0
278418,0440206154,0
278418,044021145X,0
278418,0440211727,0
278418,0440214041,0
278418,0440220602,0
278418,0440222656,0
278418,0440225701,0
278418,0440226430,0
278418,0440236673,0
278418,044023722X,0
278418,0446310786,0
278418,0446364193,0
278418,044651652X,0
278418,0446605239,0
278418,0446608955,0
278418,0446672211,0
278422,0671027360,6
278469,0743237188,7
278483,0380731851,8
278503,1400034779,0
278514,0971880107,0
278535,0375726403,0
278535,0446610038,10
278541,0142001740,9
278543,0446605239,5
278552,0671021001,7
278552,0671510053,8
278582,1400034779,10
278586,0446606812,5
278633,014028009X,2
278633,0142000205,7
278633,0316096199,8
278633,0316666343,9
278633,0440226430,9
278633,0446672211,0
278633,0452282829,0
278653,0446606812,6
278692,0060976845,0
278698,0440241073,10
278755,0385492081,1
278773,0380731851,8
278798,0316284955,7
278813,0375726403,0
278843,0060976845,0
278843,014028009X,8
278843,0142000205,9
278843,0316601950,0
278843,059035342X,8
278843,0804106304,0
278844,0679781587,7
9,0440234743,0
14,0971880107,0
16,0345417623,0
26,0446310786,10
51,0440225701,9
67,0804106304,0
91,0316769487,9
99,0786868716,0
114,0671027360,10
165,0060976845,9
193,0971880107,0
242,0971880107,0
243,0316096199,0
243,0316601950,9
243,0316666343,0
243,0316776963,9
243,0345378490,0
243,0375727345,0
243,0385720106,7
243,0440224764,0
243,0440225701,0
243,0440226430,0
243,0440234743,0
243,044023722X,7
243,0452282152,0
244,0060987103,8
254,0060930535,0
254,014028009X,0
254,0142001740,9
254,0312305060,0
254,0316769487,0
254,0316776963,0
254,0375727345,0
254,0380789035,10
254,0439064872,9
254,043935806X,0
254,0446605239,0
254,0452282152,0
254,0671021001,7
254,067976402X,0
254,0679781587,8
254,0684872153,0
254,0804106304,0
254,080410753X,0
256,044023722X,8
280,0316769487,7
383,0142001740,0
388,0060976845,3
388,006101351X,6
388,0316666343,0
